@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R19,26,37,64,68,87,90-91,102-103,133,164-165,168,170-171,189,191,201,209,233,247-248,324-325,360,387,392,419,441,464,466-467,500,550,594,618,620,629,653,672,713,775,777,810-811,828-829,834,863,911-912,915,925,927,926'

@attribute PESO_7_lag11 numeric
@attribute VALOR_9_lag11 numeric
@attribute PESO_13_lag11 numeric
@attribute PESO_22_lag11 numeric
@attribute VALOR_23_lag11 numeric
@attribute PESO_4_lag10 numeric
@attribute PESO_5_lag10 numeric
@attribute VALOR_5_lag10 numeric
@attribute PESO_9_lag10 numeric
@attribute VALOR_9_lag10 numeric
@attribute VALOR_19_lag10 numeric
@attribute PESO_4_lag9 numeric
@attribute VALOR_4_lag9 numeric
@attribute VALOR_5_lag9 numeric
@attribute PESO_6_lag9 numeric
@attribute VALOR_6_lag9 numeric
@attribute VALOR_12_lag9 numeric
@attribute PESO_13_lag9 numeric
@attribute VALOR_16_lag9 numeric
@attribute PESO_19_lag9 numeric
@attribute VALOR_1_lag8 numeric
@attribute PESO_6_lag8 numeric
@attribute VALOR_6_lag8 numeric
@attribute PESO_6_lag7 numeric
@attribute VALOR_6_lag7 numeric
@attribute PESO_18_lag7 numeric
@attribute VALOR_1_lag6 numeric
@attribute PESO_3_lag6 numeric
@attribute PESO_12_lag6 numeric
@attribute VALOR_19_lag6 numeric
@attribute VALOR_1_lag5 numeric
@attribute PESO_2_lag5 numeric
@attribute VALOR_2_lag5 numeric
@attribute VALOR_13_lag5 numeric
@attribute VALOR_4_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_1_lag3 numeric
@attribute PESO_2_lag3 numeric
@attribute PESO_5_lag3 numeric
@attribute PESO_13_lag3 numeric
@attribute VALOR_19_lag3 numeric
@attribute VALOR_7_lag2 numeric
@attribute VALOR_2_lag1 numeric
@attribute PESO_3_lag1 numeric
@attribute PESO_14_lag1 numeric
@attribute VALOR_14_lag1 numeric
@attribute PESO_20_lag1 numeric
@attribute VALOR_20_lag1 numeric
@attribute PESO_22_lag1 numeric
@attribute PESO_6_lag0 numeric
@attribute PESO_22_lag0 numeric
@attribute VALOR_22_lag0 numeric
@attribute VALOR_23_lag0 numeric
@attribute PESO_8_ahead1 numeric
@attribute PESO_8_ahead3 numeric
@attribute PESO_8_ahead2 numeric

@data
1061285,1152615.49,64,1257053,3130116.77,200518,27683,214715.56,439311,956079.14,90555.97,326975,337868.11,2478.6,142722,513071.07,153749.25,476,53825.61,46690,47360,155865,558333.71,112972,483040.08,75815,0,2095038,4685,84097.39,45144.76,15932,113871.38,0,155438.55,53574,201236.73,1158733,5079,1308,242656.65,1416787.87,246306.55,3003554,24064,9303.61,62448,112793.4,1200091,61411,1317549,1422335.24,2471702.63,2515941,1589623,3655647
357290,956079.14,6,1030377,3443705.64,326975,58,2478.6,464319,1184445.51,185897.22,287144,285242.56,4384.2,155865,558333.71,15123.24,0,184979.04,57719,4451.45,112972,483040.08,104809,387277.43,69442,45144.76,2666062,5050,70393.74,0,27448,201781.18,42377.5,459593.51,68150,160369.8,42838,1570,0,70092.69,1507850.95,347937.18,1611147,131,432.21,85463,143193.24,1317549,67641,2395921,3584402.08,2101864.12,3655647,1641873,1589623
1072040,1184445.51,476,1374175,2913638.21,287144,189,4384.2,459047,1240748.48,231086.52,360620,357924.48,15068.24,112972,483040.08,1367143.67,625,54038.19,46561,0,104809,387277.43,123296,351876.29,52785,0,2314994,3869,108753.15,201236.73,1158733,2115098.18,77818.86,338135.75,33506,25010.13,39324,7591,0,90890.87,383311.67,383720.91,3047992,24080,9145.16,54559,68216.28,2395921,114441,1018227,1136206.75,2806140.75,1589623,3065568,1641873
1310932,1240748.48,0,1613547,5249678.25,360620,394,15068.24,289468,664454.93,105812,44755,93480.94,337.87,104809,387277.43,26034.76,5140,166960.1,19812,45144.76,123296,351876.29,85961,360602,27737,201236.73,2577410,60659,242656.65,160369.8,42838,284604.02,0,469935.16,34419,6386.41,162605,2216,0,167280.5,873829.1,264495.17,3060869,181,713.75,83858,138085.82,1018227,173068,1455366,2974003.8,1780249.38,1641873,2461376,3065568
1569340,664454.93,625,2282073,3414539.32,44755,26,337.87,354209,892627.02,84097.39,278474,304466.02,15224.96,123296,351876.29,22836.44,0,137026.81,34647,0,85961,360602,83912,284026.1,43858,160369.8,2807037,11907441,70092.69,25010.13,39324,246306.55,0,571532.15,42580,141495.5,51196,1709,0,69432.92,2234993.92,378225.34,2231355,1989,1561.74,117743,153422.19,1455366,140900,913930,2748439.94,2591812.9,3065568,2245553,2461376
3179457,892627.02,5140,1647984,2479940.17,278474,2941,15224.96,518507,1242678.72,70393.74,115982,155438.55,11947.06,85961,360602,28571.77,698,157781.25,53574,201236.73,83912,284026.1,73582,437706.14,22167,25010.13,3003554,13040,90890.87,6386.41,162605,347937.18,0,351044.18,28039,37630,38319,1936,0,310482.37,763971.45,258297.74,2911871,228,1345.02,24067,22524.83,913930,117039,1450908,3667163.36,3281146.57,2461376,3284644,2245553
2767615,1242678.72,0,667477,2453844.08,115982,1652,11947.06,213104,435789.89,108753.15,313143,459593.51,47108.25,83912,284026.1,94670.63,1308,149976.66,68150,160369.8,73582,437706.14,52578,295760.41,16786,6386.41,1611147,489,167280.5,141495.5,51196,383720.91,0,317361.39,67554,0,315698,6830,0,67800.2,840783.64,226111.66,2532096,772,2879.05,116197,178494.25,1450908,93375,909805,2486995.16,1472737.14,2245553,3262054,3284644
2487279,435789.89,698,914529,2490395.05,313143,5079,47108.25,119922,281591.37,242656.65,208690,338135.75,17343.43,73582,437706.14,2833369.35,0,264322.74,33506,25010.13,52578,295760.41,61411,261253.11,19990,141495.5,3047992,12903,69432.92,37630,38319,264495.17,0,348863.49,28051,48578.23,43199,5237,400,206546.06,731480.27,510913.54,2515082,275,1566.85,119709,133091.11,909805,112096,965433,2952495.94,4825261.09,3284644,4979809,3262054
3663372,281591.37,1308,942957,8593628.35,208690,1570,17343.43,60001,148853.33,70092.69,435797,469935.16,78989.22,52578,295760.41,22502.64,0,119101.83,34419,6386.41,61411,261253.11,67641,341178.48,26368,37630,3060869,12125,310482.37,0,315698,378225.34,0,666198.47,54444,146232.68,34703,4012,155,330730.2,1688314.09,174249.83,2124526,22509,16400.27,78887,72532.3,965433,91313,1452081,640064.86,1492885.85,3262054,2713864,4979809
2370005,148853.33,0,803946,3868519.57,435797,7591,78989.22,412222,913612.92,90890.87,537418,571532.15,10769.69,61411,261253.11,10623.41,0,170472.7,42580,141495.5,67641,341178.48,114441,422602.87,21448,0,2231355,8941,67800.2,48578.23,43199,258297.74,2797.5,378948.4,85417,0,403873,1705,995,94450.33,3379299.93,115950.3,2666781,150,4640.17,55911,60360.81,1452081,57668,1201887,1826126.05,1973284.8,4979809,2297289,2713864
2240413,913612.92,0,1200091,4042222.1,537418,2216,10769.69,241750,541004.96,167280.5,344123,351044.18,25163.58,67641,341178.48,59628.23,0,273837.44,28039,37630,114441,422602.87,173068,473844.82,23182,48578.23,2911871,17313,206546.06,146232.68,34703,226111.66,10277.77,559500.84,65294,73081.64,32766,2877,0,60090.24,1855788.07,538848,3217316,13287,4672.3,108822,128152.48,1201887,58164,747242,2411248.71,807015.19,2713864,2619213,2297289
