PERIODO,PESO_5,VALOR_13,w_med,NUM_OPERACIONES_23,PESO_13,NUM_OPERACIONES_6,NUM_OPERACIONES_21,NUM_OPERACIONES_12,VALOR_22,NUM_OPERACIONES_13,NUM_OPERACIONES_10,NUM_OPERACIONES_7,NUM_OPERACIONES_18,PESO_12,VALOR_11,PESO_2,NUM_OPERACIONES_20,p_mes,VALOR_14,NUM_OPERACIONES_1,NUM_OPERACIONES_14,w_racha_dir,PESO_14,hr,NUM_OPERACIONES_17,NUM_OPERACIONES_22,NUM_OPERACIONES_11,VALOR_10,PESO_19,NUM_OPERACIONES_3,PESO_1,w_racha_speed,NUM_OPERACIONES_4,NUM_OPERACIONES_5,PESO_21,PESO_16,NUM_OPERACIONES_9,NUM_OPERACIONES_2,NUM_OPERACIONES_19,NUM_OPERACIONES_16,NUM_OPERACIONES_8,NUM_OPERACIONES_15
Oct/15,55,0.0,15.0,108,0,89,167,15,3017653.67,0,17,58,116,4302,366.92,51938,140,89.2,23580.51,1,5,8.0,50195,80.0,84,142,12,15841439.99,40073,1690,1,16.9,154,12,25208,40215,36,90,345,97,103,14
Nov/15,22231,17450.54,21.0,106,200,75,146,13,1624696.69,1,22,90,121,31816,560.47,18889,146,21.7,57.0,3,1,10.0,5,82.0,86,144,15,11176276.89,54477,1846,18054,23.6,163,15,27901,124598,37,81,351,132,103,12
Dic/15,294,6196.08,26.0,163,58080,98,301,16,1982389.16,1,27,85,154,34000,32.0,610033,189,0.0,13872.47,3,3,8.0,31105,82.0,135,226,2,268050.01,67090,2048,838,21.9,25,19,130863,29346,22,31,684,37,165,6
Ene/16,89,0.0,20.0,101,0,57,182,20,957026.72,0,28,122,104,8801628,49722.61,591995,157,48.8,0.0,1,0,10.0,0,78.0,84,140,20,8873413.69,90141,1933,40,26.1,149,17,19664,62573,44,84,326,105,135,16
Feb/16,469,15984.83,23.0,110,450,103,163,19,1344234.21,2,25,129,110,12027661,360.59,28949,144,77.1,46.0,0,1,24.0,8,77.0,79,127,12,13016108.31,31388,1444,0,25.6,176,14,33979,23903,27,77,326,106,115,15
Mar/16,7173,7.25,17.0,128,0,87,253,21,1293451.97,1,33,95,119,25268862,375.26,436292,177,42.0,2654.65,1,4,26.0,627,79.0,121,163,14,14558023.27,35183,1859,1,18.1,156,18,37689,42078,37,80,337,104,134,16
Abr/16,344,0.0,24.0,106,0,97,201,29,2426508.28,0,21,83,114,4902846,461.87,28780,158,60.9,318.17,2,5,9.0,96,82.0,91,180,14,9866434.01,90445,1963,1505,30.0,159,22,83412,68354,41,91,335,112,92,18
May/16,49,81.73,22.0,121,1,95,175,21,2261931.54,1,18,97,135,3000096,73416.43,47020,155,49.3,10176.34,5,6,8.0,24423,81.0,107,198,19,4684449.44,68522,2247,3189,24.2,163,11,58563,38850,40,90,346,112,165,23
Jun/16,48,987.68,24.0,108,50,76,193,18,2262517.93,1,26,70,102,1101100,3756.38,953779,149,0.6,8573.0,5,4,7.0,24049,79.0,93,172,18,18563486.92,34512,1865,22455,23.6,151,10,24070,26170,36,88,332,104,106,16
Jul/16,3078,1505.98,21.0,111,64,84,156,15,3538525.3,3,19,68,104,66,373.01,38260,141,1.1,2930.04,0,5,9.0,817,81.0,96,191,15,3064973.36,44204,1824,0,23.75,157,15,66805,61299,37,91,291,97,94,9
Ago/16,27683,649.28,27.0,124,6,81,189,14,1977077.18,2,20,63,146,18153,8504.63,58372,160,0.1,8862.19,0,6,6.0,24072,83.0,116,198,13,7680177.05,34298,2658,0,23.3,165,17,30582,78128,39,96,333,110,74,27
Sep/16,58,21505.56,24.0,118,476,114,200,21,1621881.1,5,22,66,124,46874,6947.34,440982,150,3.6,351.46,4,4,9.0,420,81.0,102,171,16,5885117.45,46690,1317,38,21.1,158,15,39672,33613,38,96,362,118,75,15
Oct/16,189,0.0,25.0,126,0,85,241,15,2399691.86,0,23,83,108,2449,386.41,24859,164,40.9,349.55,1,4,13.0,88,85.0,97,157,15,3048759.69,57719,2145,15050,22.5,160,18,25828,71996,43,92,370,117,98,17
Nov/16,394,14752.5,19.0,125,625,127,178,23,3197344.1,3,20,126,102,4583847,28889.12,19210,158,186.1,10695.62,3,4,7.0,2134,81.0,91,156,18,1592355.59,46561,2059,115,21.4,150,20,2372,20819,35,69,338,116,113,24
Dic/16,26,123129.25,20.0,134,5140,81,303,15,1778983.66,2,23,162,113,4685,4762.32,503816,170,181.1,1071.39,0,4,15.0,3014,81.0,101,159,16,10616921.36,19812,1839,0,23.05,148,16,8132,52128,47,101,356,126,98,14
