PERIODO,PESO_5,VALOR_13,VALOR_12,PESO_20,PESO_13,VALOR_16,VALOR_7,PESO_9,NUM_OPERACIONES_21,VALOR_22,VALOR_5,VALOR_18,NUM_OPERACIONES_10,PESO_11,NUM_OPERACIONES_18,PESO_12,VALOR_11,PESO_2,NUM_OPERACIONES_20,VALOR_1,p_mes,VALOR_20,VALOR_14,VALOR_21,PESO_18,VALOR_9,NUM_OPERACIONES_8,NUM_OPERACIONES_14,PIB,w_racha_dir,PESO_14,PESO_3,PESO_4,NUM_OPERACIONES_11,NUM_OPERACIONES_17,PESO_19,PESO_1,NUM_OPERACIONES_3,VALOR_19,w_racha_speed,VALOR_2,PESO_22,NUM_OPERACIONES_4,VALOR_23,PESO_21,PESO_16,PESO_7,NUM_OPERACIONES_9,PESO_8,VALOR_4,NUM_OPERACIONES_2,NUM_OPERACIONES_19,NUM_OPERACIONES_16,NUM_OPERACIONES_6,PESO_6,VALOR_6,NUM_OPERACIONES_15
Nov/17,4012,10277.77,144503.22,116197,155,51802.85,731480.27,103177,184,3667163.36,18346.22,899362.77,26,478,118,53312,1826.95,34703,145,146232.68,121.1,178494.25,2879.05,67325.04,697892,193214.84,166,10,258272.0,22.0,772,2532096,320805,16,94,85417,52167,2049,330730.2,18.9,226111.66,1450908,163,3281146.57,14195,39507,1300326,33,3065568,378948.4,83,317,134,143,117039,470981.75,25
Dic/17,1705,55632.62,272124.19,119709,995,154674.91,1688314.09,158247,152,2486995.16,14113.44,762228.89,29,4254,112,136925,11754.58,403873,149,0.0,101.1,133091.11,1566.85,81021.62,279827,301632.51,174,7,258272.0,21.0,275,2515082,494276,14,87,65294,0,1939,94450.33,24.2,510913.54,909805,196,1472737.14,12591,29129,3265438,21,2461376,559500.84,87,290,144,76,93375,348511.66,22
Ene/18,2877,7.75,64726.41,78887,0,60306.32,3379299.93,324712,185,2952495.94,12796.74,693499.86,27,287,124,17454,420.59,32766,139,73081.64,82.0,72532.3,16400.27,27785.62,239247,596503.05,139,9,270438.0,10.0,22509,2124526,265673,17,85,24636,24500,1618,60090.24,26.1,174249.83,965433,164,4825261.09,4755,50944,10891638,33,2245553,339562.41,65,249,110,80,112096,355040.37,34
Feb/18,18542,0.0,1445487.67,55911,0,11148.03,1855788.07,375154,32,640064.86,158903.77,430093.49,5,18060,78,4399855,31441.05,23481,28,45857.41,72.3,60360.81,4640.17,20646.08,155367,637502.75,177,5,270438.0,23.0,150,2666781,363369,4,37,49826,16001,1560,108516.69,18.6,115950.3,1452081,74,1492885.85,2274,3281,4426497,21,3284644,467073.67,51,89,46,87,91313,371324.25,6
Mar/18,4601,668.05,40995.07,108822,5,190572.41,1186374.28,357418,37,1826126.05,30118.94,1780987.87,8,153,80,69,512.66,573559,41,0.0,286.0,128152.48,4672.3,41362.43,626309,612028.38,179,6,270438.0,22.0,13287,3217316,389862,3,38,36978,0,1189,81685.92,33.1,538848.0,1201887,79,1973284.8,7599,67640,3188769,18,3262054,434501.15,116,83,53,85,57668,340448.55,14
Abr/18,4830,465.86,37235.16,97654,40,129056.47,1752637.14,259692,37,2411248.71,24369.89,981077.78,7,0,99,17916,0.0,47861,45,0.0,88.9,129925.98,23315.16,30179.17,336067,474021.37,208,4,255947.0,11.703389830508476,54799,2553933,193140,0,54,50017,0,1566,264234.29,23.19957627118644,195291.75,747242,77,807015.19,5505,73086,2974767,16,4979809,218112.17,53,116,55,104,58164,350343.78,7
May/18,3339,31118.82,23855.0,98248,500,179929.15,2396253.09,192832,63,1223599.75,19494.53,826663.16,2,30,68,25203,221.59,17144,42,0.0,7.6,178574.01,3635.07,98004.07,311394,369476.86,161,1,255947.0,8.0,396,2889079,362412,1,38,59689,0,1908,96362.18,20.6,119284.27,2008863,78,2914927.39,29282,45438,4204833,15,2713864,444400.75,57,71,48,98,65817,335178.56,5
Jun/18,2446,48684.66,55643.88,72170,1000,125080.29,2322201.51,428133,33,1567157.43,16070.77,850136.94,10,27564,76,12398,10441.62,871013,41,0.0,1.5,123040.59,133.14,59049.07,294369,704985.71,141,2,255947.0,8.0,42,2867913,555645,4,43,24795,0,1435,59251.45,20.8,472614.43,990648,89,3976058.77,9806,16476,4927018,24,2297289,571434.94,60,83,55,85,74338,344813.61,5
Jul/18,24937,0.0,16837.39,68781,0,156599.23,2701308.68,243460,38,1270241.91,82141.81,102255.87,2,18451,49,54,36304.24,65368,42,101053.72,0.0,124261.36,8584.21,50665.59,23799,537593.79,127,3,261898.0,10.0,24034,4513600,333403,4,30,40035,4050,2058,192140.07,17.5,425264.89,1982796,75,1141883.38,11706,40636,9058866,17,2619213,304831.45,93,80,57,108,77414,463241.4,7
Ago/18,1717,33265.86,8412.22,63108,500,111892.85,1696872.66,671513,50,1237437.22,8427.68,141252.89,8,22002,63,156,35734.11,47335,59,0.0,0.0,116744.55,256.75,49196.23,26300,1339301.61,82,3,261898.0,3.0,96,2426020,350369,3,45,663790,0,1264,398730.74,24.4,272401.51,872937,90,519743.1,6370,36648,8036733,31,1579299,283847.13,64,110,54,89,109901,452875.24,8
Sep/18,2797,52.42,15240.35,55524,3,176870.73,2868912.4,443982,48,2947031.58,19663.14,43082.27,6,30,38,55,51.99,791794,32,51477.08,0.3,56548.15,6530.64,21595.04,16443,838653.24,121,3,261898.0,8.0,10283,2950024,360465,1,24,38529,18701,1662,236826.88,20.8,892656.73,5069543,90,1192838.36,7737,118080,13186744,26,2155474,353067.76,134,83,62,104,100575,416628.54,6
Oct/18,6299,37060.08,70222.93,85747,812,85817.07,647570.94,356941,45,5446526.96,28982.13,55138.05,19,84,50,12238,125.09,79424,52,633.94,106.3,171307.72,0.0,205680.23,24832,685087.44,173,0,249537.0,18.0,0,2123750,298896,2,22,32506,2,2006,73850.94,23.3,247662.72,10260331,67,10218111.01,74201,75675,739023,24,3589875,340121.88,62,94,64,142,177460,834117.57,10
Nov/18,4678,47735.54,410564.1,58438,700,154146.69,1519868.46,426716,37,5960255.02,39319.69,972808.1,11,2,78,169304,137.9,79659,46,100692.0,121.1,114523.18,4106.83,66814.2,346861,769908.09,154,3,249537.0,22.0,110,1952235,351091,2,41,32081,30691,1535,87818.01,18.9,243999.3,10180738,75,107183.52,8243,42222,2108616,28,2851378,443289.83,60,113,82,104,117836,421825.5,7
Dic/18,2050,122429.66,226679.2,51842,2000,180975.9,2039828.5,100849,44,1075280.04,19124.66,58588.14,28,56,53,115751,333.89,1993326,50,316.08,25.0,97728.66,53.0,60013.92,16371,185864.0,143,1,249537.0,9.0,6,2025055,260556,4,30,639649,1,2041,409025.16,21.9,1428427.46,1026920,91,144563.44,14975,40232,2938267,14,2084414,294325.63,129,108,75,103,116006,440798.16,6
