PERIODO,PESO_5,VALOR_13,w_med,PESO_15,PESO_20,PESO_13,VALOR_16,NUM_OPERACIONES_6,PESO_9,NUM_OPERACIONES_21,NUM_OPERACIONES_12,VALOR_22,VALOR_18,NUM_OPERACIONES_13,PESO_11,VALOR_11,VALOR_1,VALOR_21,VALOR_14,NUM_OPERACIONES_1,PESO_10,PESO_18,VALOR_9,PIB,NUM_OPERACIONES_14,w_racha_dir,PESO_14,hr,VALOR_8,PESO_3,PESO_4,NUM_OPERACIONES_11,NUM_OPERACIONES_17,VALOR_15,PESO_1,PESO_19,NUM_OPERACIONES_3,VALOR_19,w_racha_speed,VALOR_2,PESO_22,PESO_17,PESO_21,PESO_16,NUM_OPERACIONES_5,PESO_7,NUM_OPERACIONES_2,VALOR_4,NUM_OPERACIONES_8,PESO_6,VALOR_6,VALOR_3,NUM_OPERACIONES_15
Nov/17,4012,10277.77,17.0,2002839,116197,155,51802.85,143,103177,184,18,3667163.36,899362.77,3,478,1826.95,146232.68,67325.04,2879.05,4,26275512,697892,193214.84,258272.0,10,22.0,772,82.0,2849373.35,2532096,320805,16,94,1474586.94,52167,85417,2049,330730.2,18.9,226111.66,1450908,6230449,14195,39507,20,1300326,83,378948.4,166,117039,470981.75,15602584.32,25
Dic/17,1705,55632.62,20.0,2029946,119709,995,154674.91,76,158247,152,24,2486995.16,762228.89,2,4254,11754.58,0.0,81021.62,1566.85,0,19028286,279827,301632.51,258272.0,7,21.0,275,80.0,2296914.93,2515082,494276,14,87,1459573.2,0,65294,1939,94450.33,24.2,510913.54,909805,401091,12591,29129,23,3265438,87,559500.84,174,93375,348511.66,20087436.02,22
Ene/18,2877,7.75,20.0,18641702,78887,0,60306.32,80,324712,185,19,2952495.94,693499.86,3,287,420.59,73081.64,27785.62,16400.27,2,75607522,239247,596503.05,270438.0,9,10.0,22509,83.0,2402024.01,2124526,265673,17,85,12985776.17,24500,24636,1618,60090.24,26.1,174249.83,965433,137219,4755,50944,34,10891638,65,339562.41,139,112096,355040.37,16676925.55,34
Feb/18,18542,0.0,16.0,10027588,55911,0,11148.03,87,375154,32,6,640064.86,430093.49,0,18060,31441.05,45857.41,20646.08,4640.17,3,10679821,155367,637502.75,270438.0,5,23.0,150,81.0,4642711.69,2666781,363369,4,37,5646060.34,16001,49826,1560,108516.69,18.6,115950.3,1452081,67982496,2274,3281,6,4426497,51,467073.67,177,91313,371324.25,18210614.61,6
Mar/18,4601,668.05,24.0,19030554,108822,5,190572.41,85,357418,37,7,1826126.05,1780987.87,1,153,512.66,0.0,41362.43,4672.3,0,54289336,626309,612028.38,270438.0,6,22.0,13287,84.0,5380113.81,3217316,389862,3,38,11465982.88,0,36978,1189,81685.92,33.1,538848.0,1201887,199594,7599,67640,5,3188769,116,434501.15,179,57668,340448.55,14074830.52,14
Abr/18,4830,465.86,18.0,29531,97654,40,129056.47,104,259692,37,6,2411248.71,981077.78,2,0,0.0,0.0,30179.17,23315.16,0,51447938,336067,474021.37,255947.0,4,11.703389830508476,54799,84.0,6565793.89,2553933,193140,0,54,20716.21,0,50017,1566,264234.29,23.19957627118644,195291.75,747242,25379688,5505,73086,7,2974767,53,218112.17,208,58164,350343.78,17316292.1,7
May/18,3339,31118.82,19.0,10221688,98248,500,179929.15,98,192832,63,4,1223599.75,826663.16,1,30,221.59,0.0,98004.07,3635.07,0,22262,311394,369476.86,255947.0,1,8.0,396,79.84463276836158,3635973.9,2889079,362412,1,38,5614604.23,0,59689,1908,96362.18,20.6,119284.27,2008863,785487,29282,45438,7,4204833,57,444400.75,161,65817,335178.56,17853381.13,5
Jun/18,2446,48684.66,20.0,26832,72170,1000,125080.29,85,428133,33,7,1567157.43,850136.94,2,27564,10441.62,0.0,59049.07,133.14,0,21164969,294369,704985.71,255947.0,2,8.0,42,65.0,3940376.44,2867913,555645,4,43,17199.87,0,24795,1435,59251.45,20.8,472614.43,990648,599020,9806,16476,6,4927018,60,571434.94,141,74338,344813.61,15686031.28,5
Jul/18,24937,0.0,17.0,9411,68781,0,156599.23,108,243460,38,5,1270241.91,102255.87,0,18451,36304.24,101053.72,50665.59,8584.21,1,36029641,23799,537593.79,261898.0,3,10.0,24034,66.0,3334195.1,4513600,333403,4,30,11443.57,4050,40035,2058,192140.07,17.5,425264.89,1982796,236608,11706,40636,5,9058866,93,304831.45,127,77414,463241.4,27857362.79,7
Ago/18,1717,33265.86,27.0,7692,63108,500,111892.85,89,671513,50,4,1237437.22,141252.89,2,22002,35734.11,0.0,49196.23,256.75,0,21876439,26300,1339301.61,261898.0,3,3.0,96,65.0,2280645.17,2426020,350369,3,45,9168.19,0,663790,1264,398730.74,24.4,272401.51,872937,30646,6370,36648,4,8036733,64,283847.13,82,109901,452875.24,19736161.01,8
Sep/18,2797,52.42,24.0,47914,55524,3,176870.73,104,443982,48,5,2947031.58,43082.27,1,30,51.99,51477.08,21595.04,6530.64,2,38422672,16443,838653.24,261898.0,3,8.0,10283,67.0,4402394.43,2950024,360465,1,24,31425.59,18701,38529,1662,236826.88,20.8,892656.73,5069543,17510506,7737,118080,5,13186744,134,353067.76,121,100575,416628.54,18315998.51,6
Oct/18,6299,37060.08,19.0,5011980,85747,812,85817.07,142,356941,45,9,5446526.96,55138.05,4,84,125.09,633.94,205680.23,0.0,2,102811560,24832,685087.44,249537.0,0,18.0,0,68.0,4633961.93,2123750,298896,2,22,3783938.52,2,32506,2006,73850.94,23.3,247662.72,10260331,144776,74201,75675,7,739023,62,340121.88,173,177460,834117.57,13831778.33,10
Nov/18,4678,47735.54,17.0,28699,58438,700,154146.69,104,426716,37,11,5960255.02,972808.1,2,2,137.9,100692.0,66814.2,4106.83,2,22583662,346861,769908.09,249537.0,3,22.0,110,82.0,5426275.55,1952235,351091,2,41,22377.06,30691,32081,1535,87818.01,18.9,243999.3,10180738,39189321,8243,42222,10,2108616,60,443289.83,154,117836,421825.5,11692992.95,7
Dic/18,2050,122429.66,19.0,5138664,51842,2000,180975.9,103,100849,44,6,1075280.04,58588.14,3,56,333.89,316.08,60013.92,53.0,1,104568658,16371,185864.0,249537.0,1,9.0,6,85.0,2921796.52,2025055,260556,4,30,3501710.04,1,639649,2041,409025.16,21.9,1428427.46,1026920,32145966,14975,40232,6,2938267,129,294325.63,143,116006,440798.16,13333551.98,6
